exp;N;Q;bst_ms;eyt_ms;veb_ms;sp_eyt;sp_veb
1;1048576;1048576;253.077;145.261;325.354;1.742;0.778
2;1048576;1048576;265.9;166.334;348.33;1.599;0.763
3;1048576;1048576;316.429;181.532;329.584;1.743;0.96
4;1048576;1048576;262.152;137.864;346.275;1.902;0.757
5;1048576;1048576;252.018;137.774;312.755;1.829;0.806
6;1048576;1048576;262.994;146.441;334.666;1.796;0.786
7;1048576;1048576;260.286;142.244;315.817;1.83;0.824
AVG;1048576;1048576;267.551;151.064;330.397;1.771;0.81
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
